,name,birth,death,nationality,n_poems
ella-wheeler-wilcox,Ella Wheeler Wilcox,1850,1919,american,4
oscar-wilde,Oscar Wilde,1854,1900,irish,11
c-k-williams,C. K. Williams,1936,2015,american,32
william-carlos-williams,William Carlos Williams,1883,1963,american,3
madeleva-wolff,Madeleva Wolff,1887,1964,american,4
william-wordsworth,William Wordsworth,1770,1850,english,47
charles-wright,Charles Wright,1935,,american,18
franz-wright,Franz Wright,1953,2015,american,4
james-wright,James Wright,1927,1980,american,23
thomas-wyatt,Thomas Wyatt,1503,1542,english,5
w-b-yeats,W. B. Yeats,1865,1939,irish,224
louis-zukofsky,Louis Zukofsky,1904,1978,american,3
