,poet,title,timestamp
116,hugo,MILTON'S APPEAL TO CROMWELL,1638739450.866925
117,frost,AN ENCOUNTER,1638739450.871587
118,rossetti,SPRING,1638739450.876659
119,shakespeare,SONNET NO. 133,1638739450.881173
120,dickinson,UNTITLED _84_,1638739450.885642
121,hopkins,THAT NATURE IS A HERACLITEAN FIRE AND OF THE COMFORT OF THE RESURRECTION,1638739450.890122
122,cummings,NEXT TO OF COURSE GOD I,1638739450.8954291
123,yeats,A DREAM OF A BLESSED SPIRIT,1638739450.900004
124,whitman,I SAW IN LOUISIANA A LIVE-OAK GROWING,1638739450.904665
125,millay,RECUERDO,1638739450.909054
126,chesterton,A CHILD OF THE SNOWS,1638739450.913592
127,hugo,THE EAGLET MOURNED,1638739450.918098
128,whitman,WEAVE IN MY HARDY LIFE,1638739450.922493
129,hopkins,TO R. B.,1638739450.926896
130,dickinson,THE MOON,1638739450.931634
131,chesterton,A HYMN,1638739450.937463
132,whitman,AN ARMY CORPS ON THE MARCH,1638739450.9420109
133,tennyson,MARRIAGE MORNING,1638739450.946781
134,tennyson,THE MILLER'S DAUGHTER,1638739450.951194
135,shakespeare,SONNET NO. 27,1638739450.9555168
136,rossetti,SHUT OUT,1638739450.959908
137,chesterton,WHEN I CAME BACK TO FLEET STREET,1638739450.964201
138,owen,THE SHOW,1638739450.968587
139,whitman,OF HIM I LOVE DAY AND NIGHT,1638739450.974314
140,macdonald,SONNET _18_,1638739450.979616
141,blake,A MEMORABLE FANCY _5_,1638739450.9845471
142,rossetti,GONE FOREVER,1638739450.989256
143,millay,SONNET _15_,1638739450.993651
144,lewis,AS THE RUIN FALLS,1638739450.9979331
145,dickinson,TOO LATE,1638739451.0027351
146,owen,S. I. W.,1638739451.007165
147,dickinson,AT HOME,1638739451.011756
148,shakespeare,SONNET NO. 48,1638739451.018403
149,huxley,THE ELMS,1638739451.02451
150,eliot,CONVERSATION GALANTE,1638739456.081193
151,dylan,CHANGING OF THE GUARD,1638739456.2145731
152,merton,AUBADE-HARLEM,1638739456.229203
153,dylan,LAST THOUGHTS ON WOODY GUTHRIE,1638739456.2348428
154,millay,WRAITH,1638739456.255591
155,tennyson,ULYSSES,1638739457.069301
156,updike,FLIGHT TO LIMBO,1638739457.078263
157,macneice,PRAYER BEFORE BIRTH,1638739457.087362
158,carroll,MELANCHOLETTA,1638739457.09676
159,rossetti,WHAT WOULD I GIVE?,1638739457.10604
160,lowell,SKUNK HOUR,1638739457.1131148
161,cummings,ALL IN GREEN MY LOVE WENT RIDING,1638739457.119978
162,ashbery,MEANINGFUL LOVE,1638739457.126582
163,ashbery,INSTEAD OF LOSING,1638739457.133523
164,hugo,INFANTILE INFLUENCE,1638739457.141114
165,lowell,EPILOGUE,1638739457.147918
166,verlaine,GIVE EAR UNTO THE GENTLE LAY,1638739457.154357
167,updike,RETURNING NATIVE,1638739457.160413
168,auden,AFTER READING A CHILD'S GUIDE TO MODERN PHYSICS,1638739457.1660318
169,macdonald,A BOY'S GRIEF,1638739457.17232
170,hugo,SUNSET,1638739457.1781278
171,eliot,SWEENEY AMONG THE NIGHTINGALES,1638739457.1844008
172,millay,SONNET _4_,1638739457.190896
173,whitman,A SONG FOR OCCUPATIONS,1638739457.197217
174,hopkins,THE BLESSED VIRGIN COMPARED TO THE AIR WE BREATHE,1638739457.203544
175,millay,ELAINE,1638739457.209308
176,blake,THE GARDEN OF LOVE,1638739457.21524
177,ashbery,MEANINGFUL LOVE,1638739457.221559
178,merton,PROVERBS,1638739457.2273002
179,rilke,INITIATION,1638739457.233079
180,lowell,AFTER THE SURPRISING CONVERSIONS,1638739457.238695
181,huxley,SONG OF POPLARS,1638739457.244434
182,pushkin,SLEEPLESSNESS,1638739457.250161
183,tennyson,"BREAK, BREAK, BREAK",1638739457.256
184,shakespeare,SONNET NO. 30,1638739457.262445
185,chesterton,A HYMN,1638739457.268039
186,auden,THE FALL OF ROME,1638739457.273646
187,bishop,ARRIVAL AT SANTOS,1638739457.279236
188,carroll,A SEA DIRGE,1638739457.284856
189,bishop,IN THE WAITING ROOM,1638739457.291521
190,lawrence,READING A LETTER,1638739457.297294
191,tennyson,MARRIAGE MORNING,1638739457.302986
192,shakespeare,SONNET NO. 37,1638739457.308583
193,bishop,IN THE WAITING ROOM,1638739457.3142889
194,carroll,A BOAT BENEATH A SUNNY SKY,1638739457.31997
195,merton,A DIRGE,1638739457.325739
196,cummings,SPRING OMNIPOTENT GODDESS,1638739457.331964
197,thomas,MY HERO BARES HIS NERVES,1638739457.337588
198,carroll,A VALENTINE,1638739457.343233
199,whitman,THOUGHT _5_,1638739457.3490932
200,thomas,I SEE THE BOYS OF SUMMER,1638739457.3548942
201,verlaine,MON RÊVE FAMILIER,1638739457.360608
202,yeats,THE DEDICATION TO A BOOK OF STORIES SELECTED FROM THE IRISH NOVELISTS,1638739457.366236
203,bishop,ARRIVAL AT SANTOS,1638739457.372284
204,verlaine,STREETS,1638739457.378102
205,cummings,ANYONE LIVED IN A PRETTY HOW TOWN,1638739457.384393
206,rossetti,DESPISED AND REJECTED,1638739457.3902452
207,berry,THE COUNTRY OF MARRIAGE,1638739457.39623
208,bishop,"PARIS, 7 A.M.",1638739457.402528
209,pushkin,MY MONUMENT,1638739457.4088929
210,lawrence,FROM A COLLEGE WINDOW,1638739457.415638
211,chesterton,THE SECRET PEOPLE,1638739457.421788
212,macneice,HOUSE ON A CLIFF,1638739457.427809
213,shakespeare,SONNET NO. 112,1638739457.435421
214,updike,FLIGHT TO LIMBO,1638739457.441938
215,updike,FLIGHT TO LIMBO,1638739457.448608
216,wilde,ENDYMION,1638739457.454884
217,updike,RELATIVES,1638739457.461324
218,verlaine,IN MUTED TONE,1638739457.46829
219,mccrae,THE CAPTAIN,1638739457.4749298
220,chesterton,A SONG OF GIFTS TO GOD,1638739457.481588
221,lawrence,SICKNESS,1638739457.4876668
222,macneice,PRAYER BEFORE BIRTH,1638739457.4966242
223,updike,PLANTING TREES,1638739457.5038998
224,rossetti,ONE DAY,1638739457.5106812
225,dylan,VISIONS OF JOHANNA,1638739457.51694
226,verlaine,MOONLIGHT,1638739457.523432
227,chesterton,A BALLADE OF AN ANTI-PURITAN,1638739457.529825
228,bishop,ONE ART,1638739457.535874
229,hugo,HOW BUTTERFLIES ARE BORN,1638739457.542707
230,auden,THE FALL OF ROME,1638739457.549271
231,macneice,HOUSE ON A CLIFF,1638739457.555588
232,verlaine,GIVE EAR UNTO THE GENTLE LAY,1638739457.56179
233,whitman,SONG OF THE REDWOOD-TREE,1638739457.568848
234,rilke,THE BOOK OF PILGRIMAGE,1638739457.575365
235,ashbery,MOTTLED TUESDAY,1638739457.584631
236,merton,NOTES FOR A NEW LITURGY,1638739457.591566
237,frost,THE MOUNTAIN,1638739457.598297
238,shakespeare,SONNET NO. 18,1638739457.6049
239,dylan,LAST THOUGHTS ON WOODY GUTHRIE,1638739457.611441
240,dylan,WATERED DOWN LOVE,1638739457.6174111
241,moore,A GRAVEYARD,1638739457.62423
242,ashbery,THE NEW HIGHER,1638739457.6319911
243,macdonald,A SONG IN A DREAM,1638739457.6391602
244,hopkins,UNTITLED _5_,1638739457.646327
245,dickinson,HUNGER,1638739457.6532931
246,dylan,"MAMA, YOU'VE BEEN ON MY MIND",1638739457.6602612
247,carroll,THE WALRUS AND THE CARPENTER,1638739457.666477
248,rossetti,THE DESCENT FROM THE CROSS,1638739457.673401
249,macdonald,SONNET _17_,1638739457.680486
250,auden,MUSÉE DES BEAUX ARTS,1638739457.6870148
251,tennyson,"BREAK, BREAK, BREAK",1638739457.693665
252,carroll,ATALANTA IN CAMDEN-TOWN,1638739457.699481
253,carroll,ATALANTA IN CAMDEN-TOWN,1638739457.706302
254,mccrae,UNSOLVED,1638739457.713451
255,milosz,ARS POETICA?,1638739485.006852
256,berry,THE COUNTRY OF MARRIAGE,1638739485.0161998
257,verlaine,IN MUTED TONE,1638739485.025354
258,auden,THE FALL OF ROME,1638739485.035254
259,auden,THE UNKNOWN CITIZEN,1638739485.046258
260,lawrence,TWO WIVES,1638739485.05625
261,verlaine,GIVE EAR UNTO THE GENTLE LAY,1638739485.066348
262,whitman,I SING THE BODY ELECTRIC,1638739485.0771048
263,frost,RANGE-FINDING,1638739485.086393
264,berry,THE COUNTRY OF MARRIAGE,1638739485.09393
265,milosz,A SONG ON THE END OF THE WORLD,1638739485.1008482
266,yeats,A FAERY SONG,1638739485.10782
267,milosz,ARS POETICA?,1638739485.114796
268,auden,AFTER READING A CHILD'S GUIDE TO MODERN PHYSICS,1638739485.121773
269,moore,TO A STEAM ROLLER,1638739485.128741
270,bishop,"PARIS, 7 A.M.",1638739485.134805
271,tennyson,THE HIGHER PANTHEISM,1638739485.141086
272,tennyson,"BREAK, BREAK, BREAK",1638739485.1470752
273,merton,AT THIS PRECISE MOMENT OF HISTORY,1638739485.153432
274,whitman,BROADWAY,1638739485.159421
275,mccrae,IN FLANDERS FIELDS,1638739485.1653938
276,macdonald,THE MOTHER OP ZEBEDEE'S CHILDREN,1638739485.171526
277,whitman,ROOTS AND LEAVES THEMSELVES ALONE,1638739485.1774771
278,bishop,THE MOOSE,1638739485.183432
279,moore,TO A STEAM ROLLER,1638739485.190196
280,owen,PARABLE OF THE OLD MEN AND THE YOUNG,1638739485.19636
281,mccrae,THE WARRIOR,1638739485.203799
282,carroll,JABBERWOCKY,1638739485.211025
283,owen,WILD WITH ALL REGRETS,1638739485.216885
284,yeats,THE BALLAD OF FATHER O'HART,1638739485.2226088
285,wilde,TO MILTON,1638739485.228865
286,blake,NURSE'S SONG _1_,1638739485.2361338
287,bishop,THE MAP,1638739485.2424169
288,pushkin,SING NOT BEAUTY,1638739485.2484338
289,wilde,TO MILTON,1638739485.254463
290,hugo,BOAZ ASLEEP,1638739485.260266
291,rossetti,ONE DAY,1638739485.266176
292,lowell,SKUNK HOUR,1638739485.272685
293,merton,BIRDCAGE WALK,1638739485.279689
294,dylan,"IT'S ALL OVER NOW, BABY BLUE",1638739485.285544
295,wilde,HÉLAS!,1638739485.2922869
296,bishop,SESTINA,1638739485.298712
297,owen,SPRING OFFENSIVE,1638739485.306196
298,blake,THE LITTLE GIRL LOST,1638739485.3140569
299,yeats,THE BALLAD OF MOLL MAGEE,1638739485.321972
